日時,総アクセス数(PV),アクセス数(UU),転載数, PC(PV基準), スマートフォン(PV基準), タブレット(PV基準)
2025年06月21日,23,23,0,13.04%,86.96%,0%
2025年06月22日,12,12,0,66.67%,33.33%,0%
2025年06月23日,10,10,0,40%,60%,0%
2025年06月24日,5,5,0,20%,80%,0%
2025年06月25日,16,16,0,43.75%,50%,6.25%
2025年06月26日,15,15,0,26.67%,73.33%,0%
2025年06月27日,18,18,0,44.44%,55.56%,0%
2025年06月28日,11,11,0,27.27%,72.73%,0%
2025年06月29日,32,32,0,53.13%,43.75%,3.13%
2025年06月30日,12,12,0,42.86%,50%,7.14%
2025年07月01日,20,20,0,40%,60%,0%
2025年07月02日,10,10,0,70%,30%,0%
2025年07月03日,16,16,0,47.06%,52.94%,0%
2025年07月04日,18,18,0,27.78%,72.22%,0%
2025年07月05日,19,19,0,26.32%,73.68%,0%
2025年07月06日,23,23,0,37.5%,58.33%,4.17%
2025年07月07日,14,14,0,26.67%,73.33%,0%
2025年07月08日,19,19,0,21.05%,78.95%,0%
2025年07月09日,7,7,0,37.5%,62.5%,0%
2025年07月10日,18,18,0,22.22%,77.78%,0%
2025年07月11日,19,19,0,15.79%,84.21%,0%
2025年07月12日,44,44,0,20.45%,79.55%,0%
2025年07月13日,42,42,0,25%,75%,0%
2025年07月14日,15,15,0,13.33%,86.67%,0%
2025年07月15日,24,24,0,12.5%,87.5%,0%
2025年07月16日,23,23,0,30.43%,65.22%,4.35%
2025年07月17日,13,13,0,38.46%,61.54%,0%
2025年07月18日,13,13,0,15.38%,84.62%,0%
2025年07月19日,20,20,0,23.81%,76.19%,0%
2025年07月20日,17,17,0,47.06%,52.94%,0%
2025年07月21日,32,32,0,21.21%,78.79%,0%
2025年07月22日,26,26,0,17.86%,78.57%,3.57%
2025年07月23日,10,10,0,18.18%,81.82%,0%
2025年07月24日,11,11,0,27.27%,72.73%,0%
2025年07月25日,15,15,0,53.33%,40%,6.67%
2025年07月26日,10,10,0,36.36%,63.64%,0%
2025年07月27日,11,11,0,27.27%,63.64%,9.09%
2025年07月28日,6,6,0,33.33%,66.67%,0%
2025年07月29日,13,13,0,23.08%,76.92%,0%
2025年07月30日,4,4,0,25%,75%,0%
2025年07月31日,5,5,0,20%,80%,0%
2025年08月01日,6,6,0,16.67%,83.33%,0%
2025年08月02日,5,5,0,20%,80%,0%
2025年08月03日,13,13,0,30.77%,69.23%,0%
2025年08月04日,6,6,0,0%,100%,0%
2025年08月05日,19,19,0,26.32%,68.42%,5.26%
2025年08月06日,8,8,0,12.5%,87.5%,0%
2025年08月07日,17,17,0,17.65%,76.47%,5.88%
2025年08月08日,14,14,0,35.71%,64.29%,0%
2025年08月09日,11,11,0,9.09%,90.91%,0%
2025年08月10日,11,11,0,18.18%,81.82%,0%
2025年08月11日,8,8,0,12.5%,87.5%,0%
2025年08月12日,25,24,0,22.22%,77.78%,0%
2025年08月13日,12,12,0,16.67%,83.33%,0%
2025年08月14日,8,8,0,25%,75%,0%
2025年08月15日,3,3,0,33.33%,66.67%,0%
2025年08月16日,7,7,0,42.86%,57.14%,0%
2025年08月17日,6,6,0,100%,0%,0%
2025年08月18日,4,4,0,25%,75%,0%
2025年08月19日,5,5,0,20%,80%,0%
2025年08月20日,5,5,0,20%,80%,0%
2025年08月21日,8,8,0,50%,37.5%,12.5%
2025年08月22日,6,6,0,16.67%,83.33%,0%
2025年08月23日,8,8,0,62.5%,37.5%,0%
2025年08月24日,6,6,0,71.43%,28.57%,0%
2025年08月25日,8,8,0,62.5%,37.5%,0%
2025年08月26日,3,3,0,100%,0%,0%
2025年08月27日,10,10,0,45.45%,54.55%,0%
2025年08月28日,2,2,0,50%,0%,50%
2025年08月29日,4,4,0,40%,60%,0%
2025年08月30日,4,4,0,75%,25%,0%
2025年08月31日,7,7,0,87.5%,12.5%,0%
2025年09月01日,10,10,0,72.73%,27.27%,0%
2025年09月02日,6,6,0,100%,0%,0%
2025年09月03日,5,5,0,100%,0%,0%
2025年09月04日,13,13,0,69.23%,30.77%,0%
2025年09月05日,8,8,0,55.56%,44.44%,0%
2025年09月06日,7,7,0,42.86%,57.14%,0%
2025年09月07日,14,14,0,71.43%,28.57%,0%
2025年09月08日,6,6,0,71.43%,28.57%,0%
2025年09月09日,12,12,0,66.67%,33.33%,0%
2025年09月10日,3,3,0,33.33%,66.67%,0%
2025年09月11日,5,5,0,66.67%,33.33%,0%
2025年09月12日,4,4,0,25%,75%,0%
2025年09月13日,16,16,0,52.94%,35.29%,11.76%
2025年09月14日,5,5,0,60%,40%,0%
2025年09月15日,7,7,0,57.14%,42.86%,0%
2025年09月16日,5,5,0,16.67%,83.33%,0%
2025年09月17日,6,6,0,16.67%,83.33%,0%
2025年09月18日,11,11,0,36.36%,63.64%,0%
2025年09月19日,6,6,0,33.33%,66.67%,0%
2025年09月20日,13,13,0,28.57%,64.29%,7.14%
2025年09月21日,13,13,0,78.57%,21.43%,0%
2025年09月22日,11,11,0,9.09%,54.55%,36.36%
2025年09月23日,11,11,0,27.27%,27.27%,45.45%
2025年09月24日,6,6,0,33.33%,66.67%,0%
合計,3682,3679,30,49.91%,48.78%,1.31%
